Style Number,Style Sketch/Image Link,Line?,Pattern Number,Sleeve Pattern Number,Style Type,Style Primary Color,Fabric Type,Style Name,Style Description,Fabric 1 Name,Fabric 1 Status,Fabric 1 Quantity (in meter),Fabric 1 Rate (Rs per meter),Fabric 2 Name,Fabric 2 Status,Fabric 2 Quantity (in meter),Fabric 2 Rate (Rs per meter),Fabric 3 Name,Fabric 3 Status,Fabric 3 Quantity (in meter),Fabric 3 Rate (Rs per meter),Accessory 1 Type,Accessory 1 Status,Accessory 1 Quantity,Accessory 1 Rate,Accessory 2 Type,Accessory 2 Status,Accessory 2 Quantity,Accessory 2 Rate,Accessory 3 Type,Accessory 3 Status,Accessory 3 Quantity,Accessory 3 Rate,Dyeing Cost,Labor (hours),Prints,Occasion,Neck Style,Main Trend,Fitting Type,Collar Type,Sleeve Type,Style Secondary Color,Primary Color Shade,Sleeve Length,Season,Hemline,Transparency,Lining,Wash Care,Closure,Bust (Inches) - XS,Chest (inches) - XS,Front Length (inches) - XS,Hips (inches),Waist (inches) - XS,Across Shoulder (inches) - XS,Sleeve Length (inches) - XS,Organic/Sustainable?,Dress Type,Shirt Type,Email Address,Fabric 1 Number,Fabric 2 Number,Fabric 3 Number,Accessory 1 Number,Accessory 2 Number,Accessory 3 Number,Dress Length,Fabric Cost,Accessory Cost,Labor Cost,Dyeing Cost,Packing Cost,Total Cost (USD),Discount (%),Discount Rupees,Target SP (INR),1st Discounted Price,1st Discount (Rs),2nd Discounted Price,2nd Discount (Rs),Clearance Price,Clerance Discount (Rs),Outlet Price,Total Cost (INR),MRP,Style Status,MSRP (USD),Discount %,Premium Style?,Exact Inventory,Inactive,Checked,Photo
16010,https://drive.google.com/open?id=1oHHJTztw9svR5z1KvUiravgevqUF0jnL,Qurvii,713,,Dress,Black,Jersey,Black jersey cold shoulder summer dress ,Black Jersey Regular Fit Dress with Flared Hemline,Jersey ,In store and available,2.25,80,,,,,,,,,,,,,,,,,,,,,,3,Solid,"Casual, Smart Casual",Round Neck,New Basics,Regular Fit,Round Collar,Not Applicable,Black,Dark,Half,Summer,Flared,Opaque,Without,Hand Wash,Not Applicable,36,35,34,38,28,14,10,No,A-Line,,,0,,,,,,,?180.00,?0.00,?150.00,,?45.00,4.17,100.00%,,,"1,899.00","1,096.00","1,099.00","1,896.00",799,"2,196.00",599,?375.00,"2,995.00",,34,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1oHHJTztw9svR5z1KvUiravgevqUF0jnL
16009,https://drive.google.com/open?id=1SV5VncD0zANu_t8LDAsOfciAvBcP8JdO,Qurvii,10142,,Shrug,Red,Georgette,Red Tropical Resort  Shrug,Red Georgette Regular Fit Shrug with Asymmetric Hemline,Georgette ,In store and available,2,60,,,,,,,,,,,,,,,,,,,,,,3,Tropical,Beach,V Neck,"Abstract, Bohemian",Regular Fit,Collarless,Not Applicable,Green,Dark,,Summer,Asymmetric,Sheer,Without,Machine Wash,Not Applicable,36,35,36,38,28,14,17,No,Shrug,,,0,,,0,,,,?120.00,?0.00,?150.00,,?45.00,3.5,100.00%,,,"1,599.00",896,899,"1,596.00",599,"1,896.00",499,?315.00,"2,495.00",,28,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1SV5VncD0zANu_t8LDAsOfciAvBcP8JdO
16008,https://drive.google.com/open?id=1gWpu7A2ja1WixJCvVssdEkUDwyaENdVz,Qurvii,641,,Skirt,Black,Lycra,Black Straight fitted strech long skirt,Black Lycra Slim Fit Skirt with Straight Hemline,Talsa balck,In store and available,2.5,100,,,,,,,,,Elastic,In store and available,1,10,,,,,,,,,,3,Solid,"Party, Casual, Night, Smart Casual",Not Applicable,New Basics,Slim Fit,Not Applicable,Not Applicable,Black,Dark,,Summer,Straight,Opaque,Without,Hand Wash,Not Applicable,,,36,38,28,,,No,,,,0,,,0,,,,?250.00,?10.00,?150.00,,?45.00,5.06,100.00%,,,"2,299.00","1,296.00","1,399.00","2,196.00",899,"2,696.00",699,?455.00,"3,595.00",,41,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1gWpu7A2ja1WixJCvVssdEkUDwyaENdVz
16007,https://drive.google.com/open?id=1a_t9RHe_GwlA9-856dklCUaLUt2Th7vt,Qurvii,641,,Skirt,Black,Jersey Lycra,Lycra houndstooth long skirt,Black Jersey Lycra Regular Fit Skirt with Straight Hemline,Jersey,In store and available,2.5,150,,,,,,,,,Elastic,In store and available,1,10,,,,,,,,,,3,Abstract,"Casual, Smart Casual",Not Applicable,Color Blocked,Regular Fit,Not Applicable,Not Applicable,White,Dark,,Summer,Straight,Opaque,Without,Hand Wash,Not Applicable,,,36,,28,,,No,,,,0,,,1,,,,?375.00,?10.00,?150.00,,?45.00,6.44,100.00%,,,"2,899.00","1,696.00","1,699.00","2,896.00","1,199.00","3,396.00",899,?580.00,"4,595.00",,52,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1a_t9RHe_GwlA9-856dklCUaLUt2Th7vt
16006,https://drive.google.com/open?id=1qEt5SfC2_2rw3Dg3ASEfGXQbX6ilLFY0,Qurvii,519,,Dress,Purple,Crepe,Qurvii womens lavender Organza party  dress .,Purple Crepe Regular Fit Dress with Flared Hemline and With Lining,Malta Chiffon ,In store and available,4,65,Karina D. No 4,In store and available,0.3,85,Lining,In store and available,3,60,Zips,In store and available,1,10,,,,,,,,,,3,Pastels,"Party, Night",V Neck,"Color Blocked, Wrap",Regular Fit,Collarless,Bell Sleeve,Lavender,Dark,Half,Summer,Flared,Opaque,With,Dry Clean Only,Concealed Zip,36,35,50,38,28,14,9,No,A-Line,,,0,0,0,0,,,,?465.50,?10.00,?150.00,,?45.00,7.45,100.00%,,,"3,399.00","1,996.00","1,999.00","3,396.00","1,299.00","4,096.00",999,?670.50,"5,395.00",,60,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1qEt5SfC2_2rw3Dg3ASEfGXQbX6ilLFY0
16005,https://drive.google.com/open?id=1bh9I9vnRVkaPV2H-z3Ev1S-bC0X0etIs,Qurvii,621,,Dress,Lavender Blush,Silk,Lavender blush Silk Organza party dress ,Lavender Blush Silk Slim Fit Dress with Flared Hemline and With Lining,Capri Crepe ,In store and available,4,90,lining,In store and available,3,60,,,,,Metal Rings,In store and available,2,10,Zips,In store and available,1,12,,,,,,3,Solid,Party,V Neck,Slip Dress,Slim Fit,Collarless,Not Applicable,Nude,Light,,Summer,Flared,Opaque,With,Dry Clean Only,Zip,36,35,54,38,28,14,,No,Fit & Flare,,,0,0,,0,0,,,?540.00,?32.00,?150.00,,?45.00,8.52,100.00%,,,"3,799.00","2,296.00","2,299.00","3,796.00","1,499.00","4,596.00","1,199.00",?767.00,"6,095.00",,69,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1bh9I9vnRVkaPV2H-z3Ev1S-bC0X0etIs
16004,https://drive.google.com/open?id=1N4wodXfNwPPzsowHk8qg3i3k5YFhiUT3,Qurvii,518,,Shirt,Caramel,French Crepe,Caramel french crepe half placket shirt,Caramel French Crepe Regular Fit Shirt with Curved Hemline,French Crepe ,In store and available,2.75,55,,,,,,,,,Buttons,In store and available,4,4,Fusing,In store and available,0.25,10,,,,,,3,Solid,"Evening, Party",Mandarin Collar,New Basics,Regular Fit,Mandarin Collar,Cuff Sleeve,Nude,Light,Full,Summer,Curved,Opaque,Without,Hand Wash,Button,36,35,28,38,28,14,22,No,,,,0,,,0,,,,?151.25,?18.50,?150.00,,?45.00,4.05,100.00%,,,"1,799.00","1,096.00","1,099.00","1,796.00",699,"2,196.00",499,?364.75,"2,895.00",,33,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1N4wodXfNwPPzsowHk8qg3i3k5YFhiUT3
16003,https://drive.google.com/open?id=1g0oVftAFssztcauXiTifU0bd5vq0eG0K,Qurvii,519,,Dress,White,Georgette,White with big yellow polkasummer  dress ,White Georgette Regular Fit Dress with Flared Hemline and With Lining,Georgette ,In store and available,3.5,50,lining,In store and available,3,40,,,,,Zips,In store and available,1,10,,,,,,,,,,3,Polka,"Evening, Beach, Festival",V Neck,"Polka Dots, Wrap",Regular Fit,Collarless,Bell Sleeve,White,Light,Half,,Flared,Opaque,With,Machine Wash,Concealed Zip,36,35,50,38,28,14,10,No,Fit & Flare,,,0,0,,0,,,,?295.00,?10.00,?150.00,,?45.00,5.56,100.00%,,,"2,499.00","1,496.00","1,499.00","2,496.00",999,"2,996.00",799,?500.00,"3,995.00",,45,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1g0oVftAFssztcauXiTifU0bd5vq0eG0K
16002,https://drive.google.com/open?id=1ry0oYTWiV0hQ2IggnVzG1-_2r8EEakCM,Qurvii,519,,Dress,Mint Green,Georgette,Mint green paisely maxi summer dress ,Mint Green Georgette Regular Fit Dress with Flared Hemline and With Lining,Georgette ,In store and available,3.5,70,lining ,In store and available,3,40,,,,,Zips,In store and available,1,10,,,,,,,,,,3,Floral,"Evening, Festival",V Neck,Floral,Regular Fit,Collarless,Bell Sleeve,White,Light,Half,Summer,Flared,Opaque,With,Machine Wash,Concealed Zip,36,35,50,38,28,14,10,No,Fit & Flare,,,0,0,,0,,,,?365.00,?10.00,?150.00,,?45.00,6.33,100.00%,,,"2,899.00","1,696.00","1,699.00","2,896.00","1,099.00","3,496.00",899,?570.00,"4,595.00",,51,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1ry0oYTWiV0hQ2IggnVzG1-_2r8EEakCM
16001,https://drive.google.com/open?id=1VQsEw5ik8kMdAo62o3Ihv5Na7ESGmAIv,Qurvii,720,,Shirt,Black,Crepe,Black and White colorblock stripe shirt ,Black Crepe Relaxed Fit Shirt with Straight Hemline,Crepe,In store and available,1.5,45,Crepe ,In store and available,1.5,45,,,,,Buttons,In store and available,8,5,Fusing ,In store and available,0.25,30,,,,,,3,Stripe,"Casual, Smart Casual",Not Applicable,Color Blocked,Relaxed Fit,Classic Collar,Cuff Sleeve,White,Dark,Full,Summer,Straight,Semi Sheer,Without,Machine Wash,Button,36,35,26,38,28,14,19,No,,,,0,0,,,,,,?135.00,?47.50,?150.00,,?45.00,4.19,100.00%,,,"1,899.00","1,096.00","1,099.00","1,896.00",799,"2,196.00",599,?377.50,"2,995.00",,34,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1VQsEw5ik8kMdAo62o3Ihv5Na7ESGmAIv
16000,https://drive.google.com/open?id=1MmXnCTJ50Iqc-59c05QPDNvmarXWS75x,Qurvii,10139,,Dress,Sky Blue,Georgette,Sky blue polka georgette A line dress ,Sky Blue Georgette Regular Fit Dress with Curved Hemline and With Lining,Georgette ,In store and available,3,45,Lining ,In store and available,2,40,,,,,,,,,,,,,,,,,,3,Polka,Beach,V Neck,"Bohemian, Polka Dots",Regular Fit,Collarless,Bell Sleeve,Black,Dark,Three Quarter,Summer,Curved,Opaque,With,Machine Wash,Not Applicable,36,35,36,38,28,14,12,No,A-Line,,,0,0,,,,,,?215.00,?0.00,?150.00,,?45.00,4.56,100.00%,,,"2,099.00","1,196.00","1,199.00","2,096.00",799,"2,496.00",599,?410.00,"3,295.00",,37,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1MmXnCTJ50Iqc-59c05QPDNvmarXWS75x
15099,https://drive.google.com/open?id=1dQTlrarNgc5xBXVDLVB68a_BNjgV1k74,Qurvii,518,,Shirt,Turquoise,Silk,Qurvii Women Turquoise half placket party shirt ,Turquoise Silk Regular Fit Shirt with Curved Hemline,Roman silk ,In store and available,2.75,55,,,,,,,,,Buttons,In store and available,5,15,Fusing,In store and available,0.25,10,,,,,,3,Solid,"Evening, Festival",Mandarin Collar,New Basics,Regular Fit,Mandarin Collar,Cuff Sleeve,Turquoise,Dark,Full,Summer,Curved,Opaque,Without,Hand Wash,Button,36,35,28,38,28,14,22,No,,1/2 Placket Mandrain collar Shirt,,0,,,5,,,,?151.25,?77.50,?150.00,,?45.00,4.71,100.00%,,,"2,099.00","1,296.00","1,299.00","2,096.00",799,"2,596.00",599,?423.75,"3,395.00",,38,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1dQTlrarNgc5xBXVDLVB68a_BNjgV1k74
15098,https://drive.google.com/open?id=1elpFrQVLLuNoiLnRwYfLVI0oZPzyF0O1,Qurvii,603,,Dress,Turquoise,Chiffon,Turquoise flowy silhoute faux wrap around maxi party dress,Turquoise Chiffon Regular Fit Dress with Flared Hemline and With Lining,Malta chiffon ,In store and available,3,65,karina D. no.4,In store and available,0.3,85,Lining ,In store and available,2.5,60,Zips,In store and available,1,12,,,,,,,,,,3,Solid,"Evening, Party, Festival",V Neck,"New Basics, Bling & Sparkly",Regular Fit,Collarless,Bell Sleeve,Gold,Light,Half,Summer,Flared,Opaque,With,Hand Wash,Concealed Zip,36,35,50,38,28,14,10,No,Fit & Flare,,,0,0,0,1,,,,?370.50,?12.00,?150.00,,?45.00,6.42,100.00%,,,"2,899.00","1,696.00","1,699.00","2,896.00","1,199.00","3,396.00",899,?577.50,"4,595.00",,52,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1elpFrQVLLuNoiLnRwYfLVI0oZPzyF0O1
15097,https://drive.google.com/open?id=1akUyHKt6iXWUc7CfMlNqWrTSvlQRihGd,Qurvii,539,,Dress,Sea Green,Poly Silk,Elegant v-neck Party dress with 3/4 sleeves ,Sea Green Poly Silk Regular Fit Dress with Flared Hemline and With Lining,Harnaz/Cappuchino ,In store and available,3,50,Cappuchino,In store and available,0.3,90,Lining ,In store and available,2.5,60,Zips,In store and available,1,12,,,,,,,,,,3,Solid,"Evening, Party, Night",V Neck,New Basics,Regular Fit,Collarless,Bell Sleeve,Mint Green,Light,Three Quarter,Summer,Flared,Opaque,With,Machine Wash,Zip,36,35,50,38,28,14,18.5,No,Fit & Flare,,,0,0,0,0,,,,?327.00,?12.00,?150.00,,?45.00,5.93,100.00%,,,"2,699.00","1,596.00","1,599.00","2,696.00","1,099.00","3,196.00",799,?534.00,"4,295.00",,48,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1akUyHKt6iXWUc7CfMlNqWrTSvlQRihGd
15096,https://drive.google.com/open?id=1jI43D42eu5C6zzN9ezI7aM08i-TVVNlh,Qurvii,518,,Shirt,Multi,Crepe,Qurvii women Multi abstract print half placket shirt ,Multi Crepe Regular Fit Shirt with Curved Hemline,Crepe ,In store and available,2.75,45,,,,,,,,,Buttons,In store and available,5,5,Fusing,In store and available,0.25,10,,,,,,3,Abstract,"Casual, Smart Casual, Active",Mandarin Collar,"Abstract, New Basics",Regular Fit,Mandarin Collar,Not Applicable,Multi,Bright,Three Quarter,Summer,Curved,Semi Sheer,Without,Machine Wash,Button,36,35,28,38,28,14,17,No,Shirt,1/2 Placket Mandrain collar Shirt,,0,,,0,,,,?123.75,?27.50,?150.00,,?45.00,3.85,100.00%,,,"1,699.00","1,096.00",999,"1,796.00",699,"2,096.00",499,?346.25,"2,795.00",,31,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1jI43D42eu5C6zzN9ezI7aM08i-TVVNlh
15095,https://drive.google.com/open?id=1ChUlnThV3D1q0kcVpAbyXDq1Cpnl6z9Q,Qurvii,518,,Shirt,Neon Yellow,Georgette,Neon Yellow abstract print half placket shirt,Neon Yellow Georgette Relaxed Fit Shirt with Curved Hemline,Georgette ,In store and available,2.75,45,,,,,,,,,Buttons,In store and available,5,5,Fusing,In store and available,0.25,10,,,,,,3,Abstract,"Casual, Smart Casual",Mandarin Collar,"Abstract, New Basics, Sheer",Relaxed Fit,Mandarin Collar,Roll-up Sleeve,Multi,Bright,Three Quarter,Summer,Curved,Sheer,Without,Machine Wash,Button,36,35,28,38,28,14,17,No,Shirt,1/2 Placket Mandrain collar Shirt,,0,,,0,,,,?123.75,?27.50,?150.00,,?45.00,3.85,100.00%,,,"1,699.00","1,096.00",999,"1,796.00",699,"2,096.00",499,?346.25,"2,795.00",,31,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1ChUlnThV3D1q0kcVpAbyXDq1Cpnl6z9Q
15094,https://drive.google.com/open?id=1kx-bhm1IOMLE5ECtkUpiCqQ1AiK08DJc,Qurvii,519,,Dress,White,Georgette,White with big Pink polka summer  dress ,White Georgette Regular Fit Dress with Flared Hemline and With Lining,Georgette ,In store and available,3.5,50,Lining ,In store and available,3,40,,,,,Zips,In store and available,1,12,,,,,,,,,,3,Polka,"Evening, Festival",V Neck,Polka Dots,Regular Fit,Collarless,Bell Sleeve,Pink,Light,Half,Summer,Flared,Opaque,With,Machine Wash,Concealed Zip,36,35,50,38,28,14,10,No,Fit & Flare,,,0,0,,0,,,,?295.00,?12.00,?150.00,,?45.00,5.58,100.00%,,,"2,499.00","1,496.00","1,499.00","2,496.00",999,"2,996.00",799,?502.00,"3,995.00",,45,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1kx-bhm1IOMLE5ECtkUpiCqQ1AiK08DJc
15093,https://drive.google.com/open?id=1q6vd1Ka5QNZtvI926owAL5gPdNpe3xmc,Qurvii,493,,Shirt,Wine,Crepe, Wine and white striped flap collar shirt,Wine Crepe Regular Fit Shirt with Curved Hemline,Crepe ,In store and available,2.75,45,,,,,,,,,Buttons,In store and available,5,3,Fusing,In store and available,0.25,10,,,,,,3,Stripe,"Casual, Office, Smart Casual",V Neck,"Abstract, Micro pattern, New Basics",Regular Fit,Collarless,Not Applicable,White,Dark,Three Quarter,Summer,Curved,Opaque,Without,Machine Wash,Button,36,35,28.5,38,28,14,17,No,,Flap Collar Shirt,,0,,,0,,,,?123.75,?17.50,?150.00,,?45.00,3.74,100.00%,,,"1,699.00",996,999,"1,696.00",699,"1,996.00",499,?336.25,"2,695.00",,30,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1q6vd1Ka5QNZtvI926owAL5gPdNpe3xmc
15092,https://drive.google.com/open?id=1DMtuwHqU08-SlAK_qw68zqocpNZz9tCH,Qurvii,692,,Kaftan,Sea Green ,Georgette,Sea Green digital print resort kaftan,Sea Green  Georgette Regular Fit Kaftan with Asymmetric Hemline,Georgette ,In store and available,2.5,50,,,,,,,,,,,,,,,,,,,,,,3,Camouflage,"Beach, Smart Casual",V Neck,"Abstract, Bohemian",Regular Fit,Collarless,Not Applicable,Olive,Light,,Summer,Asymmetric,Sheer,Without,Machine Wash,Not Applicable,36,35,38,38,28,14,,No,Kaftan,,,0,,,,,,,?125.00,?0.00,?150.00,,?45.00,3.56,100.00%,,,"1,599.00",996,999,"1,596.00",599,"1,996.00",499,?320.00,"2,595.00",,29,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1DMtuwHqU08-SlAK_qw68zqocpNZz9tCH
15091,https://drive.google.com/open?id=1yEHiW9_J1193miAK_nNHXswHPMyP4o8S,Qurvii,10139,,Dress,Black,Net,black floral net dress ,Black Net Regular Fit Dress with Flared Hemline and With Lining,Net ,In store and available,3,35,Lining,In store and available,2,60,,,,,,,,,,,,,,,,,,3,Floral,"Party, Festival",V Neck,Floral,Regular Fit,Collarless,Bell Sleeve,Black,Dark,Three Quarter,Summer,Flared,Opaque,With,Machine Wash,Not Applicable,36,35,36,38,28,14,19,No,A-Line,,,0,0,,,,,,?225.00,?0.00,?150.00,,?45.00,4.67,100.00%,,,"2,099.00","1,296.00","1,299.00","2,096.00",799,"2,596.00",599,?420.00,"3,395.00",,38,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1yEHiW9_J1193miAK_nNHXswHPMyP4o8S
15090,https://drive.google.com/open?id=1wESm2LI6-9xS3KxDepSsSSb0AoNp8Aqe,Qurvii,10142,,Shrug,Multi,Crepe,Multi colourTropical print shrug ,Multi Crepe Regular Fit Shrug with Straight Hemline,Crepe ,In store and available,2.75,45,,,,,,,,,,,,,,,,,,,,,,3,Tropical,"Casual, Beach, Smart Casual, Active",Not Applicable,"Bohemian, Tropical",Regular Fit,Not Applicable,Not Applicable,Multi,Bright,Three Quarter,Summer,Straight,Opaque,Without,Machine Wash,Not Applicable,36,35,35,38,28,14,17,No,Other,,,0,,,,,,,?123.75,?0.00,?150.00,,?45.00,3.54,100.00%,,,"1,599.00",996,999,"1,596.00",599,"1,996.00",499,?318.75,"2,595.00",,29,,TRUE,FALSE,FALSE,TRUE,https://drive.google.com/uc?export=view&id=1wESm2LI6-9xS3KxDepSsSSb0AoNp8Aqe
15089,https://drive.google.com/open?id=1W9-yRZ3EOD1V_xnSWiwFFSer59DJ78TY,Qurvii,710,,Shirt,Black,Crinkle Rayon,Black floral drop shoulder collar shirt,Black Crinkle Rayon Regular Fit Shirt with Curved Hemline,Crinkle reyon ,In store and available,2.75,70,,,,,,,,,Buttons,In store and available,8,5,,,,,,,,,,3,Floral,"Casual, Smart Casual",Button Front,"Bohemian, Floral",Regular Fit,Classic Collar,Roll-up Sleeve,Black,Dark,Half,Summer,Curved,Opaque,Without,Machine Wash,Button,36,35,27.5,,28,14,8,No,,Classic Collar,,0,,,0,,,,?192.50,?40.00,?150.00,,?45.00,4.75,100.00%,,,"2,099.00","1,296.00","1,299.00","2,096.00",899,"2,496.00",599,?427.50,"3,395.00",,38,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1W9-yRZ3EOD1V_xnSWiwFFSer59DJ78TY
15088,https://drive.google.com/open?id=1N7mfSLrEk6gDGEHpuptiQcguB1Df-oDX,Qurvii,721,,Shirt,Multi,Georgette,Neon Multi geometric print  shirt.,Multi Georgette Relaxed Fit Shirt with Curved Hemline,Georgette ,In store and available,2.75,45,,,,,,,,,Buttons,In store and available,4,5,Fusing,In store and available,0.25,10,,,,,,3,Geometric,"Casual, Smart Casual, Active",Mandarin Collar,"Color Blocked, Geometric",Relaxed Fit,Mandarin Collar,Not Applicable,Multi,Light,Three Quarter,Summer,Curved,Sheer,Without,Machine Wash,Button,36,35,28,38,28,14,17.5,No,,1/2 Placket Mandrain collar Shirt,,0,,,0,0,,,?123.75,?22.50,?150.00,,?45.00,3.79,100.00%,,,"1,699.00",996,999,"1,696.00",699,"1,996.00",499,?341.25,"2,695.00",,31,,TRUE,FALSE,FALSE,TRUE,https://drive.google.com/uc?export=view&id=1N7mfSLrEk6gDGEHpuptiQcguB1Df-oDX
15087,https://drive.google.com/open?id=1r9iIpZoUj7UppBSbJi4lRT80ItGam2Su,Qurvii,10139,,Dress,Pink,Georgette,Pink paisely A line dress ,Pink Georgette Relaxed Fit Dress with Flared Hemline and With Lining,Georgette ,In store and available,3,70,Lining,In store and available,2,50,,,,,,,,,,,,,,,,,,3,Paisley,"Evening, Festival",V Neck,"Bohemian, Floral",Relaxed Fit,Collarless,Bell Sleeve,White,Light,Three Quarter,Summer,Flared,Opaque,With,Machine Wash,Not Applicable,36,35,36,38,28,14,12,No,A-Line,,,0,0,,,,,,?310.00,?0.00,?150.00,,?45.00,5.61,100.00%,,,"2,499.00","1,496.00","1,499.00","2,496.00",999,"2,996.00",799,?505.00,"3,995.00",,45,,TRUE,FALSE,FALSE,TRUE,https://drive.google.com/uc?export=view&id=1r9iIpZoUj7UppBSbJi4lRT80ItGam2Su
15086,"https://drive.google.com/open?id=1cA7v8-uoJF13nRloakONK85IZbcWp_sC, https://drive.google.com/open?id=1H984cA3NEBLmNtvnYoEU_xi4EyJOrDfT",Qurvii,711,,Dress,Black,Lycra, Solid black Lycra slim fit strech dress,Black Lycra Slim Fit Dress with Straight Hemline,Talsa,In store and available,2,95,,,,,,,,,,,,,,,,,,,,,,3,Solid,Party,Boat Neck,Slip Dress,Slim Fit,Classic Collar,Not Applicable,Black,Dark,Half,Summer,Straight,Opaque,Without,Hand Wash,Not Applicable,36,35,35,38,28,14,10,No,Shift,,,0,,,,,,,?190.00,?0.00,?150.00,,?45.00,4.28,100.00%,,,"1,899.00","1,196.00","1,199.00","1,896.00",799,"2,296.00",599,?385.00,"3,095.00",,35,,FALSE,FALSE,FALSE,FALSE,"https://drive.google.com/uc?export=view&id=1cA7v8-uoJF13nRloakONK85IZbcWp_sC, https://drive.google.com/open?id=1H984cA3NEBLmNtvnYoEU_xi4EyJOrDf"
15085,https://drive.google.com/open?id=1Ks7aQQkW3y7Swtl_sFyDn3_vRwTtknPf,Qurvii,10142,,Shrug,Green,Crepe,green tropical print shrug ,Green Crepe Relaxed Fit Shrug with Straight Hemline,Crepe ,In store and available,2.75,45,0,,,,,,,,,,,,,,,,,,,,,3,Tropical,"Casual, Beach, Smart Casual",Not Applicable,Tropical,Relaxed Fit,Not Applicable,Not Applicable,Green,Bright,Three Quarter,Summer,Straight,Opaque,Without,Machine Wash,Not Applicable,36,35,35,38,28,14,17,No,Other,,,0,,,,,,,?123.75,?0.00,?150.00,,?45.00,3.54,100.00%,,,"1,599.00",996,999,"1,596.00",599,"1,996.00",499,?318.75,"2,595.00",,29,,TRUE,FALSE,FALSE,TRUE,https://drive.google.com/uc?export=view&id=1Ks7aQQkW3y7Swtl_sFyDn3_vRwTtknPf
15084,https://drive.google.com/open?id=1Srod2ZfpMwaDJ9n2MZKNDc4185LJxMw0,Qurvii,10142,,Shrug,Black,Georgette,Black gold swiss dot shrug,Black Georgette Relaxed Fit Shrug with Straight Hemline,Georgette ,In store and available,2.75,65,,,,,,,,,,,,,,,,,,,,,,3,Abstract,Party,Not Applicable,Micro pattern,Relaxed Fit,Not Applicable,Not Applicable,Gold,Dark,Three Quarter,Summer,Straight,Sheer,Without,Hand Wash,Not Applicable,36,35,35,38,28,14,17,No,Other,,,0,,,,,,,?178.75,?0.00,?150.00,,?45.00,4.15,100.00%,,,"1,899.00","1,096.00","1,099.00","1,896.00",699,"2,296.00",599,?373.75,"2,995.00",,34,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1Srod2ZfpMwaDJ9n2MZKNDc4185LJxMw0
15083,https://drive.google.com/open?id=1rkm1kCtRLl51Ww8_ua479o5KBlYSmiv7,Qurvii,10139,,Dress,Burgundy,Net,Burgundy Floral net A line dress ,Burgundy Net Relaxed Fit Dress with Flared Hemline,Net ,In store and available,3,35,Lining ,In store and available,2,50,,,,,,,,,,,,,,,,,,3,Floral,"Evening, Party, Night",V Neck,"Bohemian, Floral",Relaxed Fit,Collarless,Bell Sleeve,Burgundy,Dark,Three Quarter,Summer,Flared,Opaque,Without,Hand Wash,Not Applicable,36,35,35,,28,14,19,No,A-Line,,,0,0,,,,,,?205.00,?0.00,?150.00,,?45.00,4.44,100.00%,,,"1,999.00","1,196.00","1,199.00","1,996.00",799,"2,396.00",599,?400.00,"3,195.00",,36,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1rkm1kCtRLl51Ww8_ua479o5KBlYSmiv7
